31327	5415170
31230	5415170
31359	5415170
31358	5415170
31356	5415170
31355	5415170
31354	5415170
31353	5415170
31352	5415170
31351	5415170
31350	5415171
31348	5415171
31347	5415171
31345	5415171
31344	5415171
31343	5415171
31342	5415171
31341	5415171
31340	5415171
31338	5415171
31380	5477373
31402	5477373
31401	5477373
31400	5477373
31399	5477373
31398	5477373
31397	5477373
31396	5477373
31395	5477373
31394	5477373
31393	5477373
31392	5477373
31391	5477373
31390	5477373
31389	5477373
31388	5477373
31387	5477373
31386	5477373
31384	5477373
31406	5482617
31405	5482617
31404	5482617
31407	5482790
31409	5484606
31408	5484607
31410	5485024
31411	5486312
31418	5490037
31417	5490037
31416	5490037
31415	5490037
31414	5490037
31413	5490037
31419	5490810
31420	5490982
31421	5491099
31422	5491723
31423	5493691
31424	5494079
31426	5496108
31425	5496108
31427	5497000
31428	5497133
31429	5497334
31430	5497539
31431	5498356
31432	5498490
31433	5498694
31434	5499369
31435	5501087
31436	5501281
31437	5501809
31438	5502046
31439	5561585
31467	5561585
31466	5561585
31465	5561585
31464	5561585
31463	5561585
31462	5561585
31461	5561585
31460	5561585
31459	5561585
31458	5561585
31457	5561585
31454	5561585
31453	5561585
31451	5561585
31450	5561585
31448	5561585
31447	5561585
31445	5561585
31468	5564108
31476	5571446
31475	5571446
31474	5571446
31473	5571446
31472	5571446
31471	5571446
31470	5571446
31469	5571446
31477	5574236
31480	5576021
31479	5576021
31478	5576021
31483	5579591
31482	5579591
31485	5581306
31484	5581306
31486	5581349
31487	5582951
31489	5584624
31488	5584624
31490	5584890
31491	5586121
31524	5650575
31523	5650575
31522	5650575
31521	5650575
31520	5650575
31519	5650575
31518	5650575
31517	5650575
31516	5650575
31514	5650575
31513	5650575
31512	5650575
31511	5650575
31510	5650575
31509	5650575
31508	5650575
31507	5650576
31506	5650576
31504	5650577
31503	5650577
31526	5651389
31525	5651389
31530	5654571
31529	5654571
31528	5654571
31527	5654571
31531	5654967
31532	5655208
31533	5656057
31542	5658796
31541	5658796
31540	5658796
31539	5658796
31538	5658796
31537	5658796
31536	5658796
31535	5658796
31534	5658797
31544	5659225
31543	5659225
31553	5663026
31552	5663026
31551	5663026
31550	5663026
31549	5663026
31548	5663026
31547	5663026
31546	5663026
31545	5663027
31554	5663917
31557	5670806
31556	5670806
31555	5670806
31573	5697887
31572	5697887
31571	5697887
31570	5697887
31569	5697887
31567	5697887
31566	5697887
31565	5697887
31564	5697887
31562	5697887
31561	5697887
31560	5697887
31559	5697887
31694	6014760
31693	6014760
31692	6014760
31691	6014760
31690	6014760
31689	6014760
31688	6014760
31687	6014760
31686	6014760
31685	6014760
31683	6014760
31682	6014760
31681	6014760
31679	6014760
31678	6014760
31675	6014760
31673	6014760
31672	6014761
31671	6014761
31670	6014761
31695	6015808
31699	6018947
31698	6018947
31697	6018947
31696	6018947
31700	6019403
31739	6092267
31738	6092267
31737	6092267
31736	6092268
31735	6092268
31734	6092268
31733	6092268
31732	6092268
31731	6092268
31729	6092268
31728	6092268
31727	6092268
31726	6092268
31725	6092268
31724	6092268
31723	6092269
31722	6092269
31721	6092269
31720	6092269
31719	6092269
31740	6093948
31741	6094178
31742	6095895
31752	6100565
31751	6100565
31750	6100566
31749	6100566
31748	6100566
31747	6100566
31746	6100566
31745	6100566
31743	6100566
31753	6101165
31981	6521439
31980	6521439
31979	6521439
31978	6521439
31977	6521439
31976	6521439
31975	6521439
31972	6521440
31971	6521441
31970	6521441
31968	6521441
31966	6521441
31965	6521441
31964	6521441
31963	6521442
31962	6521442
31961	6521442
31960	6521442
31959	6521442
31958	6521442
31983	6521730
31982	6521730
31984	6522064
31985	6522727
31986	6522793
31987	6523658
31988	6524591
31989	6524874
31991	6525602
31990	6525602
31992	6525801
31993	6526341
31994	6526809
31995	6527212
31996	6527546
31997	6528630
31998	6528697
32000	6528763
31999	6528764
32001	6529908
32002	6531011
32033	6616789
32023	6616789
32059	6616789
32058	6616789
32057	6616789
32056	6616789
32055	6616789
32054	6616789
32053	6616790
32052	6616790
32051	6616790
32050	6616790
32049	6616790
32048	6616790
32046	6616790
32045	6616790
32044	6616790
32043	6616790
32042	6616790
32041	6616790
32065	6619912
32064	6619912
32063	6619912
32062	6619912
32061	6619912
32060	6619912
32066	6619989
32067	6621023
